English,Turkish,Indonesian,German,Arabic,Spanish,Hindi,French
Algerian Ministry of Religious Affairs and Wakfs,Cezayir Diyanet İşleri ve Vakıflar Bakanlığı,Kementerian Agama dan Wakaf Aljazair,Algerisches Ministerium für religiöse Angelegenheiten und Wakfs,وزارة الشؤون الدينية والأوقاف بالجزائر,Ministerio argelino de Asuntos Religiosos y Wakfs,अल्जीरियाई धार्मिक मामलों और वक्फ मंत्रालय,Ministère algérien des Affaires religieuses et des Wakfs
Oman Ministry of Awqaf and Religious Affairs,Umman Evkaf ve Diyanet İşleri Bakanlığı,Kementerian Awqaf dan Agama Oman,Oman Ministerium für Awqaf und religiöse Angelegenheiten,وزارة الاوقاف والشؤون الدينية بعمان,Ministerio de Awqaf y Asuntos Religiosos de Omán,ओमान अवकाफ और धार्मिक मामलों का मंत्रालय,Ministère des Awqaf et des Affaires religieuses d\'Oman
"University of Islamic Sciences, Karachi(Pakistan)","İslami İlimler Üniversitesi, Karaçi(Pakistan)","Universitas Ilmu Pengetahuan Islam, Karachi(Pakistan)","Universität für Islamische Wissenschaften, Karachi (Pakistan)",جامعة العلوم الإسلامية بكراتشي (باكستان),"Universidad de Ciencias Islámicas, Karachi(Pakistán)","इस्लामिक साइंसेज विश्वविद्यालय, कराची(पाकिस्तान)","Université des sciences islamiques, Karachi(Pakistan)"
Moroccan Ministry of Endowments and Islamic Affairs,Fas Evkaf ve İslami İşler Bakanlığı,Kementerian Wakaf dan Urusan Islam Maroko,Marokkanisches Ministerium für Stiftungen und islamische Angelegenheiten,وزارة الأوقاف والشؤون الإسلامية بالمغرب,Ministerio marroquí de Dotaciones y Asuntos Islámicos,मोरक्कन बंदोबस्ती और इस्लामी मामलों का मंत्रालय,Ministère marocain des Dotations et des Affaires islamiques
Sihat/Kemenag (Indonesia),Sihat/Kemenag (Endonezya),Sihat/Kemenag (Indonesia),Sihat/Kemenag (Indonesien),سيهات / كيميناج اندونيسيا,Sihat/Kemenag (Indonesia),सिहात/केमेनाग (इंडोनेशिया),Sihat/Kemenag (Indonésie)
"Jordan Ministry of Awqaf,Islamic Affairs and Holy Sites","Ürdün Evkaf,İslam İşleri ve Kutsal Mekanlar Bakanlığı","Kementerian Wakaf Yordania,Urusan Islam dan Tempat Suci","Jordanisches Ministerium für Awqaf, islamische Angelegenheiten und heilige Stätten",وزارة الاوقاف والشؤون والمقدسات الاسلامية بالأردن,"inisterio de Awqaf,Asuntos Islámicos y Lugares Sagrados de Jordania","जॉर्डन अवकाफ़ मंत्रालय,इस्लामी मामले और पवित्र स्थल","Ministère jordanien des Awqaf,des Affaires islamiques et des Lieux saints"
Federation of Islamic Associations in Basque Country,Bask Ülkesi İslami Dernekler Federasyonu,Federasi Asosiasi Islam di Negara Basque,Föderation islamischer Vereinigungen im Baskenland,اتحاد الجمعيات الإسلامية في بلاد الباسك,Federación de Asociaciones Islámicas del País Vasco,बास्क देश में इस्लामी संघों का संघ,Fédération des associations islamiques du Pays Basque
Fixed Isha Angle Interval,Sabit Yatsı Açı Aralığı,Memperbaiki Interval Sudut Isya,Das Isha-Winkelintervall wurde korrigiert,زاوية العشاء الثابتة,ntervalo de ángulo de Isha fijo,निश्चित ईशा कोण अंतराल,Intervalle d\'angle Isha fixe
Could not find the right mapping,Doğru eşleme bulunamadı,Tidak dapat menemukan pemetaan yang tepat,Die richtige Zuordnung konnte nicht gefunden werden,لم نتمكن من تحديد طريقة حساب الصلوات,No se pudo encontrar el mapeo correcto,सही मैपिंग नहीं मिल सकी,Impossible de trouver le bon mappage
Shake your phone,Telefonunuzu sallayın,Goyangkan ponsel Anda,Schütteln Sie Ihr Telefon,قم بهز الهاتف,Sacude tu telefono,शेक युअर फ़ोन,Secoue ton téléphone
Hijri calendar corrections,Hicri takvim düzeltmeleri,Koreksi penanggalan Hijriah,Korrekturen des Hijri-Kalenders,تعديل التقويم الهجري,Correcciones del calendario Hijri,हिजरी कैलेंडर सुधार,Corrections du calendrier Hijri
Today\'s date,Bugünün tarihi,Tanggal hari ini,Heutiges Datum,تاريخ اليوم,Fecha,आज की तारीख,La date d\'aujourd\'hui
Default,Varsayılan,Bawaan,Standard,لا تعديل,Por defecto,गलती करना,Défaut
" I asked the Prophet ﷺ which action is dearest to God and he replied, “Prayer at its proper time.”","Peygamber Efendimiz\'e (s.a.v.) Allah katında hangi amelin en sevimli olduğunu sordum ve o şöyle cevap verdi: \""Namazı vaktinde kılın.\"""," Aku bertanya kepada Nabi ﷺ amalan apa yang paling disukai Allah dan beliau menjawab, “Sholat pada waktunya.” ","Ich fragte den Propheten ﷺ, welche Handlung Gott am liebsten sei, und er antwortete: „Das Gebet zur richtigen Zeit.“",سٌئل رسول الله ﷺ : أي العمل أحب إلى الله ؟ قال:“الصلاة على وقتها”.,Le pregunté al Profeta ﷺ qué acción es más querida por Dios y él respondió: “Oración en el momento adecuado”.," मैंने पैगंबर ﷺ से पूछा कि कौन सा कार्य ईश्वर को सबसे प्रिय है और उन्होंने उत्तर दिया, \""उचित समय पर प्रार्थना.\""",J\'ai demandé au Prophète ﷺ quelle action est la plus chère à Dieu et il a répondu : « La prière au moment opportun. » 
App permissions,Uygulama izinleri,Izin aplikasi,App-Berechtigungen,صلاحيات التطبيق,Permisos de aplicaciones,एप्लिकेशन अनुमतियों,Autorisations des applications
Warning icon,Uyarı simgesi,Ikon peringatan,Warnsymbol,أيقونة التحذير,Icono de advertencia,चेतावनी चिह्न,Icône d\'avertissement
"For a better experience, please enable auto-start for Fajr app.",Daha iyi bir deneyim için lütfen Fajr uygulamasının otomatik başlatılmasını etkinleştirin.,"Untuk pengalaman yang lebih baik, harap aktifkan Auto-Start untuk FAJR App.",Für ein besseres Erlebnis aktivieren Sie bitte Autostart für die Fajr-App.,.لتجربة أفضل، يرجى تمكين بدء التشغيل التلقائي لتطبيق فجر,"Para una mejor experiencia, habilita el inicio automático de la aplicación Faŷr.","बेहतर अनुभव के लिए, कृपया फ़ज्र ऐप के लिए ऑटो-स्टार्ट सक्षम करें.","Pour une meilleure expérience, veuillez activer le démarrage automatique pour l\'application FAJR."
OK,TAMAM,OKE,OK,حسنا,OK,ठीक है,D\'ACCORD
NO THANKS,"HAYIR, TEŞEKKÜRLER","TIDAK, TERIMA KASIH",NEIN DANKE,لا شكرا,"NO, GRACIAS","जी नहीं, धन्यवाद",NON MERCI
Prayer Notification Sound,Namaz Bildirim Sesi,Suara pemberitahuan doa,Gebetsbenachrichtigungston,اشعارات الصلوات,Sonido de notificación de oración,प्रार्थना अधिसूचना ध्वनि,SON NOTIFICATION DE PRIÈRE
You can activate the notification of each prayer time separately,Her namaz vaktinin bildirimini ayrı ayrı aktif hale getirebilirsiniz.,Anda dapat mengaktifkan pemberitahuan,Sie können die Benachrichtigung für jede Gebetszeit separat aktivieren,يمكنك تفعيل المنبه لكل صلاة على حدا,Puedes activar la notificación de cada tiempo de oración por separado.,आप प्रत्येक प्रार्थना समय की अधिसूचना को अलग से सक्रिय कर सकते हैं,Vous pouvez activer la notification
Fajr Alarm,Sabah Alarmı,Alarm fajr,Fajr-Alarm,منبه الفجر,Alarma de Faŷr,फज्र अलार्म,Alarme FAJR
Set up a Special Alarm for Fajr prayer,Sabah namazı için özel bir alarm kurun,Siapkan alarm khusus untuk doa fajr,Richten Sie einen besonderen Alarm für das Fajr-Gebet ein,تفعيل المنبه خاص بصلاة الفجر,Configura una alarma especial para la oración del Faŷr,फज्र की नमाज़ के लिए एक विशेष अलार्म सेट करे,Configurez une alarme spéciale pour la prière FAJR
Adjust Fajr Alarm,Sabah Alarmını Ayarla,Sesuaikan alarm fajr,Passen Sie den Fajr-Alarm an,ضبط منبه الفجر,Ajustar la alarma de Faŷr,फज्र अलार्म समायोजित करे,Ajuster l\'alarme FAJR
set your fajr alarm according to your preference,sabah alarmınızı tercihinize göre ayarlayın,Atur alarm fajr Anda sesuai dengan preferensi Anda,Stellen Sie Ihren Fajr-Alarm nach Ihren Wünschen ein,اضبط منبه الفجر حسب تفضيلاتك,Configura tu alarma Faŷr según tus preferencias,अपनी पसंद के अनुसार अपना फज्र अलार्म सेट करें,Définissez votre alarme FAJR en fonction de votre préférence
Wakeup Trigger,Uyandırma Tetikleyicisi,Pemicu bangun,Wakeup-Trigger,تحدى الاستيقاظ,Activador de despertador,वेकअप ट्रिगर,Déclencheur de réveil
Choose the challenge you want to have,Sahip olmak istediğiniz mücadeleyi seçin,Pilih tantangan yang ingin Anda miliki,"Wählen Sie die Herausforderung, die Sie haben möchten",تحديد نوع التحدى للاستيقاظ,Elige el desafío que quieres tener,वह चुनौती चुनें जो आप चाहते हैं,Choisissez le défi que vous voulez avoir
Sync your Prayer times with google calendar,Namaz vakitlerinizi Google takvimiyle senkronize edin,Sinkronisasi Waktu Doa Anda dengan Kalender Google,Synchronisieren Sie Ihre Gebetszeiten mit dem Google Kalender,مزامنة أوقات الصلاة مع تقويم جوجل,Sincroniza tus tiempos de oración con Google Calendar,अपनी प्रार्थना के समय को Google कैलेंडर के साथ सिंक करे,Synchronisez vos temps de prière avec Google Calendar
Make sure your daily events and prayer times never clash,Günlük olaylarınızın ve namaz vakitlerinizin asla çakışmadığından emin olun,Pastikan acara harian dan waktu doa Anda tidak pernah berbenturan,"Stellen Sie sicher, dass Ihre täglichen Ereignisse und Gebetszeiten nie in Konflikt geraten",عرض أوقات الصلاة على التقويم الخاص بك لتخطيط فعالياتك حول أهم الأحداث في اليوم,Asegúrate de que tus eventos diarios y tus tiempos de oración nunca entren en conflicto,सुनिश्चित करें कि आपके दैनिक कार्यक्रम और प्रार्थना के समय में कभी टकराव न हो,Assurez-vous que vos événements quotidiens et vos temps de prière ne s\'affrontent jamais
Wakeup Trigger,Uyandırma Tetikleyicisi,Pemicu bangun,Wakeup-Trigger,تحدى الاستيقاظ,Activador de despertador,वेकअप ट्रिगर,Déclencheur de réveil
Choose the challenge you want to have,Sahip olmak istediğiniz mücadeleyi seçin,Pilih tantangan yang ingin Anda miliki,"Wählen Sie die Herausforderung, die Sie haben möchten",تحديد نوع التحدى للاستيقاظ,Elige el desafío que quieres tener,वह चुनौती चुनें जो आप चाहते हैं,Choisissez le défi que vous voulez avoir
Your Journey to learning Quran starts here,Kuran öğrenme yolculuğunuz burada başlıyor,Perjalanan Anda untuk Belajar Quran dimulai di sini,Ihre Reise zum Erlernen des Korans beginnt hier,رحلتك الى تعلم القرأن الكريم,Tu viaje para aprender el Corán comienza aquí<,कुरान सीखने की आपकी यात्रा यहां से शुरू होती है,Votre voyage vers l\'apprentissage du Coran commence ici
Choose from our handpicked verified Quran Tutors and start learning in your native language.,"Özenle seçilmiş, doğrulanmış Kur\'an Eğitmenlerimiz arasından seçim yapın ve ana dilinizde öğrenmeye başlayın",Pilih dari tutor Quran yang diverifikasi tangan kami dan mulailah belajar dalam bahasa ibu Anda.,"Wählen Sie aus unseren handverlesenen, verifizierten Koranlehrern und beginnen Sie mit dem Lernen in Ihrer Muttersprache",اختر من امهر المحفظين المعتمدين لدى نظامنا و نعلم بلغتك الأم,Elige entre nuestros tutores del Corán verificados cuidadosamente seleccionados y comienza a aprender en tu idioma nativo.,हमारे चुने हुए सत्यापित कुरान शिक्षकों में से चुनें और अपनी मूल भाषा में सीखना शुरू करें.,Choisissez parmi nos tuteurs Coran vérifiés triés sur le volet et commencez à apprendre dans votre langue maternelle.
"Experience our stunning new designs for Fajr!
Sync seamlessly with Google Calendar for effortless organization. Plus, enjoy dedicated Fajr for Quran (Qurany) features to enhance your spiritual journey.",,Nikmati desain baru yang menakjubkan untuk Fajr! Sinkronkan dengan lancar dengan Kalender Google untuk organisasi yang mudah. Nikmati fitur Fajr untuk Qur'an yang didedikasikan untuk meningkatkan perjalanan spiritual Anda.,"Erleben Sie unsere atemberaubenden neuen Designs für Fajr! Synchronisieren Sie nahtlos mit Google Kalender für eine mühelose Organisation. Außerdem genießen Sie spezielle Fajr für Quran (Qurany) Funktionen, um Ihre spirituelle Reise zu bereichern. ","
استمتع بتصميماتنا الجديدة المذهلة لتطبيق فجر! التزامن بسلاسة مع تقويم جوجل لتنظيم يسير وسهل. بالإضافة إلى ذلك، استمتع بتطبيق قرآني لتعزيز رحلتك الدينيه","Experimenta nuestros impresionantes nuevos diseños para Fajr! Sincroniza sin problemas con Google Calendar para una organización sin esfuerzo. Además, disfruta de las funciones dedicadas de Fajr para el Corán (Qurany) para mejorar tu viaje espiritual.","फजर के लिए हमारे शानदार नए डिजाइन का अनुभव करें! आसानी से संगठित करने के लिए Google कैलेंडर के साथ सहजता से सिंक करें। साथ ही, अपनी आध्यात्मिक यात्रा को बेहतर बनाने के लिए कुरान (कुरानी) के लिए समर्पित फजर के फीचर्स का आनंद लें। ","Découvrez nos nouveaux designs époustouflants pour le Fajr ! Synchronisez-vous parfaitement avec le calendrier Google pour une organisation sans effort. De plus, profitez de fonctionnalités dédiées au Fajr et au Coran pour enrichir votre parcours spirituel. "
